query_id,query_text,doc_id,relevance
1579,613 585 area code,msmarco_v2.1_doc_16_1901024377,1
1579,613 585 area code,msmarco_v2.1_doc_16_1901089924,1
3053,Foods to Feed A 10 Month Old,msmarco_v2.1_doc_07_1296057658,1
5315,Non emergency police phone number Lincoln Nebraska,msmarco_v2.1_doc_07_922122523,1
7090,What does the Bible say about us failing,msmarco_v2.1_doc_06_860358365,1
8089,Where does the name Campbell originate from,msmarco_v2.1_doc_16_2701367735,1
9922,about how many distinct languages are spoken in indonesia?,msmarco_v2.1_doc_06_147995576,1
10016,abraham lincoln's death date,msmarco_v2.1_doc_01_191203529,1
10797,activation number for direct express,msmarco_v2.1_doc_00_1452205636,1
11325,add effect of caffeine,msmarco_v2.1_doc_08_1337022159,1
11623,adjectiv phrase definition,msmarco_v2.1_doc_06_881951006,1
12777,age babies start talking,msmarco_v2.1_doc_01_1851745226,1
13307,age limit to buy cigarettes,msmarco_v2.1_doc_48_339176208,1
14084,age requirement for president of us,msmarco_v2.1_doc_16_1562065900,1
16351,ambien what is it used for,msmarco_v2.1_doc_15_1578720123,1
17170,amount of creatine per day,msmarco_v2.1_doc_07_1291774234,1
18044,androgen excess symptoms,msmarco_v2.1_doc_01_105759059,1
18044,androgen excess symptoms,msmarco_v2.1_doc_17_1805532180,1
18044,androgen excess symptoms,msmarco_v2.1_doc_08_289183076,1
18235,angle angle side definition,msmarco_v2.1_doc_07_1260121043,1
18964,another term for starting period,msmarco_v2.1_doc_47_68135232,1
19226,ans define heart medical,msmarco_v2.1_doc_09_1311203747,1
19423,antioxidant benefits,msmarco_v2.1_doc_56_1465711145,1
19499,antv jakarta,msmarco_v2.1_doc_16_1850434478,1
21177,are beneficiary trusts taxable,msmarco_v2.1_doc_07_388053167,1
21592,are cherries digestive,msmarco_v2.1_doc_59_696583934,1
22439,are figs good for constipation,msmarco_v2.1_doc_30_1026359304,1
22711,are grains a source of protein,msmarco_v2.1_doc_06_1369485372,1
23006,are hydraulic shocks better than gas,msmarco_v2.1_doc_06_729375744,1
23802,are muscles made of protein,msmarco_v2.1_doc_01_1849638727,1
24039,are original loan docs required to be kept,msmarco_v2.1_doc_06_363417170,1
24101,are paper documents  needed for payroll records,msmarco_v2.1_doc_44_681654547,1
24168,are peas a carbohydrate,msmarco_v2.1_doc_56_1440217138,1
25151,are strapless wedding dresses out of style,msmarco_v2.1_doc_50_303192280,1
26054,are vasectomies 100%,msmarco_v2.1_doc_10_416151340,1
26107,are vitamins necessary for good health,msmarco_v2.1_doc_01_1283259857,1
27097,artists who sings hallelujah,msmarco_v2.1_doc_17_1387079127,1
27320,"ashland, ma population",msmarco_v2.1_doc_16_1956920002,1
16068,alveolus is part of what system,msmarco_v2.1_doc_56_1464601294,1
21420,are campfires bad for your health,msmarco_v2.1_doc_51_121170628,1
7853,What type of blood test is hepatitis profile,msmarco_v2.1_doc_08_1318881585,1
24270,are physicians required to sign joinder clause,msmarco_v2.1_doc_17_2300546301,1
25758,are there restrictions on how much cash you can deposit,msmarco_v2.1_doc_04_1080357406,1
16973,amlodipine besylate is used for what,msmarco_v2.1_doc_16_1741463107,1
17206,amount of fiber\suggested per day,msmarco_v2.1_doc_10_633005733,1
