query_id,query_text,doc_id,relevance
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_00_896525856,1
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_00_896531019,2
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_03_205301662,2
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_03_430308607,1
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_03_430337943,1
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_03_436508846,1
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_04_555684149,1
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_04_716852900,2
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_04_1200317522,1
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_05_272032510,2
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_05_273490549,2
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_05_669290459,1
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_05_669304556,1
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_05_1514946704,1
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_06_557506353,1
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_06_587930356,1
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_06_587934624,1
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_06_885447756,1
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_06_1597673874,1
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_06_1600527610,1
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_06_1601384782,1
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_06_1603684217,2
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_06_1604682722,1
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_06_1604704143,1
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_06_1605452328,2
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_06_1605774402,1
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_06_1607278554,1
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_06_1607581459,2
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_06_1608686935,1
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_08_274700987,2
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_10_596200280,1
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_10_596473903,1
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_10_598784719,1
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_10_598993196,2
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_10_598997282,1
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_10_756349007,1
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_10_1385241988,1
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_12_994586440,1
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_16_554090814,1
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_16_1627142514,1
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_17_1255689657,1
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_17_957531177,1
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_24_453807425,1
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_30_895530099,1
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_30_1806362839,1
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_30_1850978841,1
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_30_999052075,1
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_30_1003865566,1
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_31_1052479384,2
2000511,average bahamas temperature at the end of october,msmarco_v2.1_doc_31_596932278,1
