query_id,query_text,doc_id,relevance
2005861,what are the three countries in 1984,msmarco_v2.1_doc_00_388740946,1
2005861,what are the three countries in 1984,msmarco_v2.1_doc_01_1066810610,2
2005861,what are the three countries in 1984,msmarco_v2.1_doc_04_943106501,1
2005861,what are the three countries in 1984,msmarco_v2.1_doc_05_695295296,3
2005861,what are the three countries in 1984,msmarco_v2.1_doc_06_74448072,3
2005861,what are the three countries in 1984,msmarco_v2.1_doc_06_873931060,2
2005861,what are the three countries in 1984,msmarco_v2.1_doc_08_46726253,1
2005861,what are the three countries in 1984,msmarco_v2.1_doc_10_16859240,3
2005861,what are the three countries in 1984,msmarco_v2.1_doc_10_390511567,2
2005861,what are the three countries in 1984,msmarco_v2.1_doc_12_469301218,1
2005861,what are the three countries in 1984,msmarco_v2.1_doc_12_1625333594,3
2005861,what are the three countries in 1984,msmarco_v2.1_doc_12_1099824494,1
2005861,what are the three countries in 1984,msmarco_v2.1_doc_13_83394366,3
2005861,what are the three countries in 1984,msmarco_v2.1_doc_13_875735187,1
2005861,what are the three countries in 1984,msmarco_v2.1_doc_13_581506308,1
2005861,what are the three countries in 1984,msmarco_v2.1_doc_13_582930267,1
2005861,what are the three countries in 1984,msmarco_v2.1_doc_13_601715098,1
2005861,what are the three countries in 1984,msmarco_v2.1_doc_16_1138474495,3
2005861,what are the three countries in 1984,msmarco_v2.1_doc_17_496439952,2
2005861,what are the three countries in 1984,msmarco_v2.1_doc_17_512156785,3
2005861,what are the three countries in 1984,msmarco_v2.1_doc_17_1442164476,2
2005861,what are the three countries in 1984,msmarco_v2.1_doc_17_3242107944,1
2005861,what are the three countries in 1984,msmarco_v2.1_doc_18_2975728882,1
2005861,what are the three countries in 1984,msmarco_v2.1_doc_19_1006365463,3
2005861,what are the three countries in 1984,msmarco_v2.1_doc_19_1951893186,1
2005861,what are the three countries in 1984,msmarco_v2.1_doc_19_1225787572,3
2005861,what are the three countries in 1984,msmarco_v2.1_doc_20_341784524,1
2005861,what are the three countries in 1984,msmarco_v2.1_doc_29_830724849,3
2005861,what are the three countries in 1984,msmarco_v2.1_doc_29_1235074399,1
2005861,what are the three countries in 1984,msmarco_v2.1_doc_33_1320269301,2
2005861,what are the three countries in 1984,msmarco_v2.1_doc_33_1331557381,1
2005861,what are the three countries in 1984,msmarco_v2.1_doc_33_1333603554,3
2005861,what are the three countries in 1984,msmarco_v2.1_doc_33_1349777086,1
2005861,what are the three countries in 1984,msmarco_v2.1_doc_35_9539073,3
2005861,what are the three countries in 1984,msmarco_v2.1_doc_35_348564838,3
2005861,what are the three countries in 1984,msmarco_v2.1_doc_36_598978357,2
2005861,what are the three countries in 1984,msmarco_v2.1_doc_36_598987282,3
2005861,what are the three countries in 1984,msmarco_v2.1_doc_39_715570765,3
2005861,what are the three countries in 1984,msmarco_v2.1_doc_39_718934434,3
2005861,what are the three countries in 1984,msmarco_v2.1_doc_39_721936534,3
2005861,what are the three countries in 1984,msmarco_v2.1_doc_39_731894904,2
2005861,what are the three countries in 1984,msmarco_v2.1_doc_39_747473071,3
2005861,what are the three countries in 1984,msmarco_v2.1_doc_39_756337614,1
2005861,what are the three countries in 1984,msmarco_v2.1_doc_39_756379993,1
2005861,what are the three countries in 1984,msmarco_v2.1_doc_39_756494354,3
2005861,what are the three countries in 1984,msmarco_v2.1_doc_39_773278276,3
2005861,what are the three countries in 1984,msmarco_v2.1_doc_39_784798239,3
2005861,what are the three countries in 1984,msmarco_v2.1_doc_41_1257042930,3
2005861,what are the three countries in 1984,msmarco_v2.1_doc_41_1809855387,3
2005861,what are the three countries in 1984,msmarco_v2.1_doc_41_1809882838,3
2005861,what are the three countries in 1984,msmarco_v2.1_doc_41_1809901292,3
2005861,what are the three countries in 1984,msmarco_v2.1_doc_43_318730839,3
2005861,what are the three countries in 1984,msmarco_v2.1_doc_48_1224681744,3
2005861,what are the three countries in 1984,msmarco_v2.1_doc_50_1181230816,3
2005861,what are the three countries in 1984,msmarco_v2.1_doc_50_1471032410,3
2005861,what are the three countries in 1984,msmarco_v2.1_doc_50_1978941078,3
2005861,what are the three countries in 1984,msmarco_v2.1_doc_50_2037628912,1
2005861,what are the three countries in 1984,msmarco_v2.1_doc_52_1513872938,3
2005861,what are the three countries in 1984,msmarco_v2.1_doc_52_1515368104,3
2005861,what are the three countries in 1984,msmarco_v2.1_doc_52_1650475058,3
2005861,what are the three countries in 1984,msmarco_v2.1_doc_53_481638496,1
2005861,what are the three countries in 1984,msmarco_v2.1_doc_53_504422604,1
2005861,what are the three countries in 1984,msmarco_v2.1_doc_54_109245095,1
2005861,what are the three countries in 1984,msmarco_v2.1_doc_58_1355028055,3
2006211,what does auslan interpreted performance mean,msmarco_v2.1_doc_00_1456619601,1
2006211,what does auslan interpreted performance mean,msmarco_v2.1_doc_01_2129461710,1
2006211,what does auslan interpreted performance mean,msmarco_v2.1_doc_02_1533804759,1
2006211,what does auslan interpreted performance mean,msmarco_v2.1_doc_03_25577544,1
2006211,what does auslan interpreted performance mean,msmarco_v2.1_doc_03_670353272,1
2006211,what does auslan interpreted performance mean,msmarco_v2.1_doc_03_754245930,1
