query_text,new_query_text,baseline_ndcg,new_ndcg,clarity,label,length,ndcg_improvmt%
. irritability medical definition,. irritability medical definition irritability definition medicine clinical,0.6309,0.3869,clear,description,3,-38.69%
323 area code zip code,323 area code zip code 323 area code Los Angeles zip codes,0.1290,0.3869,clear,location,5,+200.00%
613 585 area code,613 585 area code 613 area code 585 area code New York,0.0000,0.0000,clear,location,4,+0.00%
DJ Paul Net Worth 2014,DJ Paul Net Worth 2014 DJ Paul net worth 2014 Three 6 Mafia net worth 2014,0.5000,0.6309,clear,numeric,5,+26.19%
Foods to Feed A 10 Month Old,Foods to Feed A 10 Month Old baby led weaning purees finger foods,0.0000,0.0000,clear,description,7,+0.00%
How Much is Blanket Jackson Worth,How Much is Blanket Jackson Worth Michael Jackson child inheritance net worth,1.0000,0.6309,ambiguous,numeric,6,-36.91%
How much per hour does Bernie Sanders pay his staff?,How much per hour does Bernie Sanders pay his staff? staff wages hourly rate salary,0.3562,0.0000,clear,numeric,8,-100.00%
Non emergency police phone number Lincoln Nebraska,Non emergency police phone number Lincoln Nebraska Lincoln Police Department non-emergency line 402-441-6000,0.0000,0.1934,clear,numeric,7,+19.34%
What does the Bible say about us failing,What does the Bible say about us failing failure sin grace redemption,0.0000,0.0000,clear,description,6,+0.00%
What type of blood test is hepatitis profile,What type of blood test is hepatitis profile hepatitis panel serology liver function,0.0000,0.0000,clear,description,7,+0.00%
Where does the name Campbell originate from,Where does the name Campbell originate from Scottish surname Gaelic clan origins,0.0000,0.0000,clear,location,6,+0.00%
Who wrote the Barry Manilow song looks like we made it,Who wrote the Barry Manilow song looks like we made it Barry Manilow co-wrote Richard Kerr Will Jennings,0.0000,0.0000,clear,person,9,+0.00%
____ is a process by which organisms with characteristics suited to the environment will survive and reproduce.a.natural selectionc.evolutionb.artificial selectiond.organic evolution,____ is a process by which organisms with characteristics suited to the environment will survive and reproduce.a.natural selectionc.evolutionb.artificial selectiond.organic evolution natural selection survival reproduction,0.6309,0.6309,clear,description,28,+0.00%
about how many distinct languages are spoken in indonesia?,about how many distinct languages are spoken in indonesia? languages of Indonesia linguistic diversity regional languages,0.1832,0.2702,clear,numeric,8,+47.53%
abraham lincoln's death date,abraham lincoln's death date April 15 1865 assassination Ford's Theatre,0.0000,0.2789,clear,numeric,4,+27.89%
accredited investor definition ontario,accredited investor definition ontario accredited investor Ontario Securities Commission OSC NI 45-106,0.3155,0.3869,clear,description,4,+22.63%
activation number for direct express,activation number for direct express Direct Express activation code card activation,0.0000,0.0000,clear,numeric,5,+0.00%
add effect of caffeine,add effect of caffeine caffeine effects caffeine impact caffeine influence,0.0000,0.0000,ambiguous,description,4,+0.00%
adjectiv phrase definition,adjectiv phrase definition adjective phrase examples grammar,0.0000,0.0000,ambiguous,description,3,+0.00%
age babies start talking,age babies start talking first words babbling language milestones,0.0000,0.0000,clear,numeric,4,+0.00%
age limit to buy cigarettes,age limit to buy cigarettes minimum age tobacco purchase legal smoking age,0.0000,0.4307,clear,numeric,5,+43.07%
age requirement for president of us,age requirement for president of us constitutional qualifications minimum age 35,0.0000,0.0000,clear,numeric,6,+0.00%
alveolus is part of what system,alveolus is part of what system respiratory system lung,0.0000,0.0000,clear,entity,5,+0.00%
ambien what is it used for,ambien what is it used for zolpidem insomnia sleep aid,0.0000,0.2500,clear,description,5,+25.00%
amlodipine besylate is used for what,amlodipine besylate is used for what antihypertensive calcium channel blocker vasodilation,0.0000,0.0000,clear,description,6,+0.00%
amoral vs immoral definition,amoral vs immoral definition ethical distinction moral philosophy wrongness,0.4992,0.6509,clear,description,4,+30.40%
