query_id	query_text
787021	what is produced by muscle
1049187	who recorded be my baby
1049519	who said no one can make you feel inferior
788054	what is ptf
2082	At about what age do adults normally begin to lose bone mass?
1051399	who sings monk theme song
527433	types of dysarthria from cerebral palsy
1051909	who sings the song can i have this dance for the rest of our life
265593	how long it take to get a master's degree
1052368	who stabbed dr. martin luther king
265953	how long normally lead time for renewal driving license
1136649	why is energy lost in the second law of thermodynamics
87452	causes of military suicide
529397	types of procurement contracts
7551	What is the longest bone in your body and where is it located?
7578	What is the meaning of the middle name Marie?
272996	how long until you can get loan forgiveness from student loans
273270	how long will a cooked veal chop last in the refrigerator
13365	age limits for navy officers
537968	vitamins to grow hair
276356	how many calories do you burn in an hour of swimming
538755	wages and salaries expense is
1063750	why did the us volunterilay enter ww1
540006	was friedrich nietzsche an atheist
1064670	why do hunters pattern their shotguns?
803542	what is that part of the back of your knee called
281250	how many days does the moon take to orbit the earth
19335	anthropological definition of environment
1068235	why does the statue of liberty bear a light torch
1068356	why does water form drops on the outside of glass
282148	how many devices can the night hawk wi-fi acomadate
1068734	why forward cg increases stall speed
1069207	why is a person given insulin while they are in a coma
1071750	why is pete rose banned from hall of fame
23287	are landlords liable if someone breaks in a hurts tenant
547849	weight water per cubic foot
877809	what metal are hip replacements made of
288850	how many miles from los angeles to las vegas driving
290916	how many ounces are in half a gallon of milk
29624	augured definition
816172	what is the difference between Davis Cup and Fed cup in tennis
816748	what is the difference between a visitation and a funeral?
292792	how many people on ssi in u.s.
555530	what are best foods to lower cholesterol
293523	how many points does stephen curry have for his career
105804	cost of new toilet and installation
818295	what is the difference between ricotta cheese and cottage cheese
294028	how many protein and carbs before working out early morning
295266	how many seasons of the show highlander is there
821914	what is the format for audio cd
822191	what is the friar's vocation in romeo and juliet?
300025	how many whales are caught in fishing nets off california
300487	how many years after services can a dr's office bill a patient
300986	how many years in jail for money laundering
563799	what are proteins made of and why are they important?
826968	what is the language spoken in france
303293	how much can i put in traditional ira
303586	how much carbs in corn
827885	what is the left lobe of the brain used for
42255	average salary for dental hygienist in nebraska
305966	how much do i have to pay for amazon prime
568750	what are the diff skills related fitness and health related fitness
570248	what are the fundamental differences between a monarchy and a constitutional form of government?
832573	what is the methylmalon a. c test
47210	average wedding dress alteration cost
835301	what is the name of the longest canal in the western hemisphere
311125	how much does a pure breed portuguese water dog cost
835608	what is the name of the sheath around the axons that serves as insulation and speeds neural transmissions?
835760	what is the name of the triangular region at the base of the bladder?
835851	what is the name of willie nelson's guitar? a
573724	what are the social determinants of health
573933	what are the steps of dna replication in the cell
312764	how much does an entry level graphic designer charge per hour
630651	what does a urologist do for a woman
838673	what is the pay hourly and annually for a social worker
576538	what are ugg boots?
315330	how much does it cost to fix a foundation on a home
315378	how much does it cost to for a concrete driveway
315638	how much does it cost to go to arizona state university
840276	what is the postage to mail letter to vancouver, canada?
1102663	who was the leader of the socialist party during the progressive era
1102690	who was the first black quarterback to play pro football
1102932	who produces french montana
1103153	who is thomas m cooley
1103547	who is jaffe?
1103617	who is elias disney
1103812	who formed the commonwealth of independent states
1104049	definition of daguerreotype
1104164	which statement correctly explains the polarity of the water molecule?
1104300	which part of the life cycle is dominant in bryophyte?
1104398	which muscle has autorhythmicity
1104447	which kind of continental boundary is formed where two plates move horizontally past one another?
1104462	which is the most important effect of the bessemer process
