trajectory_id,step,query,new_query,action,action_name,reward,done,ndcg_before,ndcg_after,recall_before,recall_after,cost,cum_cost,elapsed_ms,cum_elapsed_ms
0,0,what is pcnt,what is pcnt,3,STOP,0.000000,True,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.00,0.00
1,0,how long is a college hockey game,how long is a college hockey game,1,Rerank,0.599824,False,0.630930,1.000000,1.000000,1.000000,0.300000,0.300000,2349.51,2349.51
1,1,how long is a college hockey game,how long is a college hockey game,3,STOP,0.000000,True,1.000000,1.000000,1.000000,1.000000,0.000000,0.300000,0.00,2349.51
2,0,what is pastoral medicine,what is pastoral medicine,1,Rerank,-0.023253,False,0.430677,0.500000,1.000000,1.000000,0.300000,0.300000,3056.99,3056.99
2,1,what is pastoral medicine,"What is pastoral medicine, including its definition, scope, and key principles?",0,QueryReform,0.587343,False,0.500000,1.000000,1.000000,1.000000,1.000000,1.300000,6379.72,9436.71
2,2,"What is pastoral medicine, including its definition, scope, and key principles?","What is pastoral medicine, including its definition, scope, and key principles?",3,STOP,0.000000,True,1.000000,1.000000,1.000000,1.000000,0.000000,1.300000,0.00,9436.71
3,0,what is ownership of a corporation called,what is ownership of a corporation called,3,STOP,0.000000,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00
4,0,what is prevail,what is prevail,3,STOP,0.000000,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00
5,0,what is overhead rate in managerial accounting?,what is overhead rate in managerial accounting? predetermined,2,PseudoRelevanceFeedback,-0.100043,False,0.000000,0.000000,0.000000,0.000000,0.300000,0.300000,1201.28,1201.28
5,1,what is overhead rate in managerial accounting? predetermined,What is the predetermined overhead rate in managerial accounting and how is it calculated?,0,QueryReform,1.265082,False,0.000000,0.250000,0.000000,1.000000,1.000000,1.300000,1047.54,2248.82
5,2,What is the predetermined overhead rate in managerial accounting and how is it calculated?,What is the predetermined overhead rate in managerial accounting and how is it calculated? manufacturing,2,PseudoRelevanceFeedback,-0.002916,True,0.250000,0.301030,1.000000,1.000000,0.300000,1.600000,1349.29,3598.11
6,0,what is price of pressure treated lumber 2x6x8,What is the current price of a 2x6x8 pressure treated lumber board?,0,QueryReform,-0.286179,False,0.356207,0.333333,1.000000,1.000000,1.000000,1.000000,1212.94,1212.94
6,1,What is the current price of a 2x6x8 pressure treated lumber board?,What is the current price of a 2x6x8 pressure treated lumber board?,1,Rerank,1.177407,False,0.333333,1.000000,1.000000,1.000000,0.300000,1.300000,2877.80,4090.74
6,2,What is the current price of a 2x6x8 pressure treated lumber board?,What is the current price of a 2x6x8 pressure treated lumber board?,3,STOP,0.000000,True,1.000000,1.000000,1.000000,1.000000,0.000000,1.300000,0.00,4090.74
7,0,what is outlook data file,what is outlook data file,3,STOP,0.000000,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.00
8,0,how long is a flight from chicago to australia,how long is a flight from chicago to australia,3,STOP,0.000000,True,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,0.00,0.00
9,0,what is ott media,what is ott media,1,Rerank,0.423516,False,0.218104,0.500000,1.000000,1.000000,0.300000,0.300000,2408.25,2408.25
9,1,what is ott media,what is ott media,3,STOP,0.000000,True,0.500000,0.500000,1.000000,1.000000,0.000000,0.300000,0.00,2408.25
