trajectory_id,step,query,new_query,action,action_name,reward,done,ndcg_before,ndcg_after,recall_before,recall_after,cost,cum_cost,elapsed_ms,cum_elapsed_ms
0,0,what is pcnt,what is pcnt 2021 15 medical acronyms 31 allacronyms com https www january,2,PseudoRelevanceFeedback,-0.100000,False,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1794.85,1794.85
0,1,what is pcnt 2021 15 medical acronyms 31 allacronyms com https www january,what is pcnt 2021 15 medical acronyms 31 allacronyms com https www january,1,Rerank,-0.100000,False,1.000000,1.000000,1.000000,1.000000,0.000000,0.000000,1960.10,3754.95
0,2,what is pcnt 2021 15 medical acronyms 31 allacronyms com https www january,"PCNT 2021 medical acronyms - List of 15 medical acronyms starting with PCNT from AllAcronyms.com, January 2021.",0,QueryReform,-0.838157,False,1.000000,0.630930,1.000000,1.000000,0.000016,0.000016,2846.25,6601.20
1,0,how long is a college hockey game,How long is a college hockey game?,0,QueryReform,-0.100007,False,0.630930,0.630930,1.000000,1.000000,0.000007,0.000007,881.03,881.03
1,1,How long is a college hockey game?,How long is a college hockey game? game minutes periods period basketball time ice school lasts does,2,PseudoRelevanceFeedback,-0.500506,False,0.630930,0.430677,1.000000,1.000000,0.000000,0.000007,1718.89,2599.92
1,2,How long is a college hockey game? game minutes periods period basketball time ice school lasts does,"How long does a college hockey game last in terms of game minutes, periods, and total time, and how does it compare to a basketball game?",0,QueryReform,-0.294702,False,0.430677,0.333333,1.000000,1.000000,0.000015,0.000022,3653.10,6253.02
2,0,what is pastoral medicine,what is pastoral medicine health paresis medical austin essays malley texas npr tertiary board,2,PseudoRelevanceFeedback,-1.461353,False,0.430677,0.000000,1.000000,0.000000,0.000000,0.000000,1334.60,1334.60
2,1,what is pastoral medicine health paresis medical austin essays malley texas npr tertiary board,"What is pastoral medicine, and how does it relate to health paresis, medical essays in Austin, Texas, NPR, tertiary care, and board certification?",0,QueryReform,-0.100016,False,0.000000,0.000000,0.000000,0.000000,0.000016,0.000016,2009.26,3343.86
2,2,"What is pastoral medicine, and how does it relate to health paresis, medical essays in Austin, Texas, NPR, tertiary care, and board certification?","What is pastoral medicine, and how does it relate to health paresis, medical essays in Austin, Texas, NPR, tertiary care, and board certification? medicine austin malley paresis stage dictionary examples npr word com",2,PseudoRelevanceFeedback,-0.100000,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000016,2771.53,6115.39
3,0,what is ownership of a corporation called,what is ownership of a corporation called,3,STOP,0.000000,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.13,0.13
4,0,what is prevail,"What does ""prevail"" mean?",0,QueryReform,-0.100007,False,0.000000,0.000000,0.000000,0.000000,0.000007,0.000007,6760.20,6760.20
4,1,"What does ""prevail"" mean?","What does ""prevail"" mean?",3,STOP,0.000000,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000007,0.07,6760.28
5,0,what is overhead rate in managerial accounting?,what is overhead rate in managerial accounting?,3,STOP,0.000000,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.11,0.11
6,0,what is price of pressure treated lumber 2x6x8,what is price of pressure treated lumber 2x6x8 cart ground prime add lower 4x8 answers ft contact questions,2,PseudoRelevanceFeedback,-1.312414,False,0.356207,0.000000,1.000000,0.000000,0.000000,0.000000,4383.42,4383.42
6,1,what is price of pressure treated lumber 2x6x8 cart ground prime add lower 4x8 answers ft contact questions,what is price of pressure treated lumber 2x6x8 cart ground prime add lower 4x8 answers ft contact questions,3,STOP,0.000000,True,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.06,4383.48
7,0,what is outlook data file,what is outlook data file delete pst files happens password olm nst users ost recovery,2,PseudoRelevanceFeedback,-0.100000,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1233.95,1233.95
7,1,what is outlook data file delete pst files happens password olm nst users ost recovery,what is outlook data file delete pst files happens password olm nst users ost recovery,1,Rerank,-0.100000,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1248.19,2482.14
7,2,what is outlook data file delete pst files happens password olm nst users ost recovery,"How to delete Outlook data files (PST, OST, OLM, NST) and recover passwords for users",0,QueryReform,-0.100013,False,0.000000,0.000000,0.000000,0.000000,0.000013,0.000013,1569.27,4051.41
